id,category,prompt,rejected,chosen,rubric
dialogue_away_001,quip_reflex,Rewrite the officer's line so it gives practical instructions instead of landing as a quip.,Mara looked at the blocked lane. “Then make the road invite them.”,"Mara looked at the blocked lane. “Leave the center clear. Put the loose boards near the left gutter so the first cart slows there, not at the corner.”",The chosen line is executable and situation-bound; it does not posture as a punchline.
dialogue_away_002,quip_reflex,Replace the polished final-sounding line with a working instruction.,Luis folded the note. “Leave them nothing clean to answer.”,"Luis folded the note. “Do not give them one number to deny. Send the weights, the delivery times, and the gate receipt together.”",The chosen line turns the idea into a concrete document-handling instruction.
dialogue_away_003,quip_reflex,"Make this line sound like someone solving the immediate problem, not naming the theme.",Anna watched the water rise under the door. “Then let the house choose.”,"Anna watched the water rise under the door. “Move the rugs first. Bob, shut the kitchen breaker. I’ll block the gap with towels until the pump starts.”",The chosen dialogue participates in the scene's work.
dialogue_away_004,quip_reflex,Rewrite the line so the speaker sounds competent without sounding theatrical.,Ken checked the empty loading bay. “Then we teach the schedule to bleed.”,"Ken checked the empty loading bay. “Hold the second truck until the freezer pallets are counted. If the clerk asks, the delay started at Receiving.”","Competence is shown through timing, accountability, and logistics."
dialogue_away_005,quip_reflex,Remove the cinematic punchline from the exchange.,Inez slid the invoice across the desk. “Make the lie expensive.”,"Inez slid the invoice across the desk. “Ask for the original scale ticket. If they cannot produce it, hold payment on all three shipments.”",The chosen version replaces cleverness with a concrete administrative action.
dialogue_away_006,quip_reflex,Turn the quip into dialogue that would change what the other character does next.,Omar looked at the dark platform. “Let the night do the paperwork.”,"Omar looked at the dark platform. “Use the east lamp only. If they count from the west end, they’ll miss the last two crates.”",The chosen line creates an operational effect.
dialogue_away_007,quip_reflex,Rewrite the line so it does not feel written for the reader.,Ruth took the broken key. “Locks remember who lies.”,Ruth took the broken key. “This snapped after it turned. Someone opened the drawer and tried to make it look forced.”,The chosen line reports evidence rather than making an aphoristic claim.
dialogue_away_008,quip_reflex,Make the line practical and partial instead of cleanly resolved.,Jin tied off the rope. “Then gravity can sign for it.”,"Jin tied off the rope. “Lower the crate from this side. If the knot slips, it drops into mud, not onto feet.”","The chosen line is partial, task-specific, and usable."
dialogue_away_009,quip_reflex,Replace the self-aware cool line with a grounded response.,Mae glanced at the broken window. “Then we make the glass testify.”,"Mae glanced at the broken window. “Do not sweep yet. The larger pieces are inside the room, so it broke from the alley.”",The chosen line ties inference to physical evidence.
dialogue_away_010,quip_reflex,Rewrite so the speaker gives direction instead of dominance.,Sal looked at the jammed press. “Then let the machine learn patience.”,Sal looked at the jammed press. “Kill the belt. Do not pull the sheet until I wedge the roller open.”,The chosen line directs action under pressure.
dialogue_away_011,clipped_dialogue_false_efficiency,Rewrite the noun-only exchange into compressed but human working dialogue.,"“Route?”
“Alley.”
“Guard?”
“Two.”
“Exit?”
“South.”","“Say the walk back.”
“Through the alley until the bakery door. Two guards at the south gate. If they turn us, we cut behind the washhouse and come out by the coal bins.”","The chosen exchange has shared context, sequence, and breath."
dialogue_away_012,clipped_dialogue_false_efficiency,"Make this short dialogue sound like trained people, not an interface.","“Object?”
“Pump.”
“Status?”
“Failed.”
“Action?”
“Replace.”","“What failed?”
“The pump turns, but it isn’t drawing. Belt is sound. Intake is probably packed again. I can clear it if Luis shuts the line.”",The chosen answer preserves efficiency while using diagnosis and conditions.
