id,category,prompt,rejected,chosen,rubric
rlhf_obs_001,concrete_observable_behavior,Rewrite this in the preferred style: 'The sort of pace that assumed space would exist when needed.',He walked with the sort of pace that assumed space would exist when needed.,He did not slow at the doorway. The clerk moved his stool back before being asked.,Avoid 'the sort of X that Y' abstractions. Use observable movement and visible effects on others.
rlhf_obs_002,concrete_observable_behavior,Describe a senior engineer entering a crowded room without using abstract status language.,He had the bearing of a man who expected others to make room.,He came in with a rolled plan under one arm. Two apprentices shifted their stools before he reached the table.,"Show status through concrete behavior and reactions, not generalized bearing."
rlhf_obs_003,concrete_observable_behavior,Describe an impatient officer arriving at a survey office.,He moved with the sort of impatience that made delays feel like insults.,"He struck the mud from his boots against the threshold and said, 'Which desk has the river estimates?' before removing his gloves.",Replace abstract impatience with physical action and dialogue.
rlhf_obs_004,physical_action_not_summary,Rewrite: 'He carried himself like a man accustomed to command.',He carried himself like a man accustomed to command.,He entered without looking around for permission to sit and laid his wet gloves on the only dry chair.,Avoid behavioral summaries. Use concrete actions.
rlhf_obs_005,physical_action_not_summary,Show that a quartermaster is used to being obeyed.,The quartermaster radiated the authority of a man used to obedience.,The quartermaster pointed once at the broken axle. Three men stopped arguing and lifted it onto the trestle.,Show command through what happens after a gesture.
rlhf_obs_006,physical_action_not_summary,Show a junior clerk defying a superior without naming courage.,The clerk was braver than his rank allowed.,The clerk kept one finger on the ledger page when the inspector tried to close it.,Avoid naming traits. Render the trait through an action.
rlhf_mat_007,specific_material_observation,Rewrite: 'The room held the feeling of old disagreements.',The room held the feeling of old disagreements.,"Three calculations had been crossed out hard enough to tear the paper, and the inkstand had a crack along its lip.",Replace faux-perceptive mood with inspectable material details.
rlhf_mat_008,specific_material_observation,Describe an archive where people have argued about road tolls for years.,The archive breathed with the weight of old disputes over passage and money.,The toll petitions were tied in three colors of string. Someone had written 'again' beside the same bridge name in four different hands.,"Ground history in documents, marks, wear, and repeated artifacts."
rlhf_mat_009,specific_material_observation,Show that a survey map has been fought over by multiple offices.,The map bore the invisible pressure of institutional conflict.,"The canal line had been inked in black, scraped pale, then drawn again in red. Two office seals overlapped at the bend.","Use visible alterations and material evidence, not institutional mood."
rlhf_pres_010,embodied_detail_not_presence,Rewrite: 'She had the presence of someone difficult to refuse.',She had the presence of someone difficult to refuse.,No one interrupted while she finished sharpening the pencil.,"Show social force through interruption patterns, waiting, silence, and bodily behavior."
rlhf_pres_011,embodied_detail_not_presence,Describe a negotiator who controls the room without saying she controls it.,Her presence gathered the room into obedience.,"When she turned the chair around and sat backward on it, the men at the window stopped whispering.",Avoid generalized presence; show visible changes in others.
rlhf_pres_012,embodied_detail_not_presence,Show that a courier's arrival matters.,The courier entered with the charged presence of news no one could ignore.,The courier held up the sealed packet. The dice stayed where they had fallen.,Let objects and interrupted actions demonstrate importance.
rlhf_dom_013,visible_inference_not_social_omniscience,Rewrite: 'Everyone in the room already respected him.',Everyone in the room already respected him.,The arguments stopped when he unfolded the map.,Limit narration to Dominic's visible inference from observable events.
